id,name,country,league,url,team_id,formation,overall,attack,midfield,defence,transfer_budget,club_worth,speed,dribbling,passing,positioning,crossing,passing_2,shooting,positioning_2,aggression,pressure,team_width,defender_line,domestic_prestige,international_prestige,players,starting_xi_avg_age,whole_team_avg_age,year
1952,Hull City,England,Premier League,https://sofifa.com/team/1952/hull-city/150059/,1952,5-3-2,73,75,73,70,€10M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,11,33,27.27,24.97,2015
452,RCD Espanyol,Spain,La Liga,https://sofifa.com/team/452/rcd-espanyol/150059/,452,4-4-2 Holding,73,76,73,72,€6.3M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,16,15,32,26.27,23.97,2015
110832,Granada CF,Spain,La Liga,https://sofifa.com/team/110832/granada-cf/150059/,110832,4-2-3-1 Wide,73,72,74,72,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,5,14,33,26.64,24.27,2015
242,RC Deportivo de La Coruña,Spain,La Liga,https://sofifa.com/team/242/rc-deportivo-de-la-coruna/150059/,242,4-2-3-1 Wide,73,71,72,72,€420K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Offside trap,18,12,33,26.82,25.0,2015
1809,Toulouse FC,France,Ligue 1,https://sofifa.com/team/1809/toulouse-fc/150059/,1809,4-1-2-1-2 Narrow,72,74,71,70,€6M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,13,33,23.0,23.06,2015
25,SC Freiburg,Germany,Bundesliga,https://sofifa.com/team/25/sc-freiburg/150059/,25,4-4-2 Holding,72,71,71,72,€4.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Free form,Press,Medium,Narrow,Cover,11,11,27,24.55,23.63,2015
31,1. FC Köln,Germany,Bundesliga,https://sofifa.com/team/31/1-fc-koln/150059/,31,4-4-2 Holding,72,73,72,72,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Normal,Cover,12,12,25,24.82,24.12,2015
1842,Cagliari,Italy,Serie A,https://sofifa.com/team/1842/cagliari/150059/,1842,4-3-1-2,72,71,72,71,€5M,€0,Fast,Little,Mixed,Organised,Normal,Risky,Lots,Free form,Press,Medium,Normal,Offside trap,12,14,32,26.73,23.34,2015
1853,Levante UD,Spain,La Liga,https://sofifa.com/team/1853/levante-ud/150059/,1853,5-4-1 Flat,72,73,71,73,€3M,€0,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Contain,Medium,Normal,Cover,9,14,30,27.36,25.43,2015
62,En Avant Guingamp,France,Ligue 1,https://sofifa.com/team/62/en-avant-guingamp/150059/,62,4-4-2 Holding,72,76,72,71,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,8,10,31,29.0,25.58,2015
1861,UD Almería,Spain,La Liga,https://sofifa.com/team/1861/ud-almeria/150059/,1861,4-2-3-1 Wide,72,73,70,71,€5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,11,33,25.18,23.52,2015
70,Montpellier HSC,France,Ligue 1,https://sofifa.com/team/70/montpellier-hsc/150059/,70,4-2-3-1 Wide,72,74,71,71,€7M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,13,31,26.09,24.39,2015
71,FC Nantes,France,Ligue 1,https://sofifa.com/team/71/fc-nantes/150059/,71,4-1-2-1-2 Narrow,72,70,70,70,€2M,€0,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,12,31,23.91,23.48,2015
95,Leicester City,England,Premier League,https://sofifa.com/team/95/leicester-city/150059/,95,5-2-1-2,72,71,72,68,€9.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,10,33,27.27,25.67,2015
379,Stade de Reims,France,Ligue 1,https://sofifa.com/team/379/stade-de-reims/150059/,379,4-4-2 Holding,72,70,72,71,€2.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Normal,Cover,10,10,29,26.64,24.31,2015
192,AC ChievoVerona,Italy,Serie A,https://sofifa.com/team/192/ac-chievoverona/150059/,192,4-4-2 Flat,72,74,73,72,€4M,€0,Balanced,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,11,28,28.91,26.64,2015
206,Hellas Verona FC,Italy,Serie A,https://sofifa.com/team/206/hellas-verona-fc/150059/,206,4-3-3 Flat,72,73,73,71,€3M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,9,31,30.09,25.9,2015
1746,Empoli,Italy,Serie A,https://sofifa.com/team/1746/empoli/150059/,1746,4-3-1-2,72,71,72,73,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,8,27,24.45,24.22,2015
467,SD Eibar,Spain,La Liga,https://sofifa.com/team/467/sd-eibar/150059/,467,4-2-3-1 Wide,72,72,72,72,€250K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,7,5,22,27.0,27.5,2015
468,Elche CF,Spain,La Liga,https://sofifa.com/team/468/elche-cf/150059/,468,4-2-3-1 Wide,72,72,72,72,€1.9M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,10,30,25.18,24.17,2015
50,Parma,Italy,Serie A,https://sofifa.com/team/50/parma/150059/,50,4-3-3 Flat,71,71,70,69,€8M,€0,Balanced,Normal,Short,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,13,13,33,27.91,25.27,2015
58,Sporting Club Bastia,France,Ligue 1,https://sofifa.com/team/58/sporting-club-bastia/150059/,58,5-3-2,71,71,69,68,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,11,33,26.36,24.18,2015
72,OGC Nice,France,Ligue 1,https://sofifa.com/team/72/ogc-nice/150059/,72,4-2-3-1 Wide,71,64,65,69,€4.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,12,12,33,21.91,22.27,2015
1867,Córdoba CF,Spain,La Liga,https://sofifa.com/team/1867/cordoba-cf/150059/,1867,4-2-3-1 Wide,71,72,71,70,€420K,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,7,9,33,25.36,24.06,2015
217,FC Lorient,France,Ligue 1,https://sofifa.com/team/217/fc-lorient/150059/,217,4-1-4-1,71,72,68,70,€3.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,10,12,33,24.82,23.15,2015
1796,Burnley,England,Premier League,https://sofifa.com/team/1796/burnley/150059/,1796,4-4-2 Flat,70,71,70,71,€7.5M,€0,Balanced,Little,Long,Organised,Normal,Risky,Normal,Organised,Press,Medium,Normal,Cover,10,9,33,27.09,23.82,2015
111271,Thonon Évian,France,Ligue 1,https://sofifa.com/team/111271/thonon-evian/150059/,111271,4-4-2 Holding,70,68,71,66,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,8,10,29,25.0,26.07,2015
10030,SC Paderborn 07,Germany,Bundesliga,https://sofifa.com/team/10030/sc-paderborn-07/150059/,10030,4-1-4-1,69,69,68,68,€1.5M,€0,Fast,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Contain,Deep,Normal,Cover,8,7,28,26.18,25.29,2015
210,Stade Malherbe Caen,France,Ligue 1,https://sofifa.com/team/210/stade-malherbe-caen/150059/,210,4-1-4-1,69,68,68,68,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,10,25,26.45,25.56,2015
110915,Cesena FC,Italy,Serie A,https://sofifa.com/team/110915/cesena-fc/150059/,110915,4-3-2-1,68,68,68,66,€4M,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,9,11,33,28.0,24.64,2015
68,FC Metz,France,Ligue 1,https://sofifa.com/team/68/fc-metz/150059/,68,4-2-3-1 Wide,68,70,66,68,€1.5M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,9,29,24.27,24.72,2015
64,RC Lens,France,Ligue 1,https://sofifa.com/team/64/rc-lens/150059/,64,4-1-4-1,67,70,65,64,€2M,€0,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Normal,Cover,11,12,28,23.0,23.18,2015
21,FC Bayern München,Germany,Bundesliga,https://sofifa.com/team/21/fc-bayern-munchen/160058/,21,4-1-4-1,85,88,84,84,€80M,€0,Balanced,Normal,Short,Free form,Little,Safe,Little,Free form,Double,High,Wide,Cover,20,20,30,26.73,25.17,2016
241,FC Barcelona,Spain,La Liga,https://sofifa.com/team/241/fc-barcelona/160058/,241,4-3-3 Holding,84,91,85,82,€100M,€0,Balanced,Normal,Mixed,Free form,Normal,Normal,Normal,Free form,Press,Medium,Normal,Cover,20,20,33,28.36,24.79,2016
